i,ml,mom,gmm,cue,el
724,0,1,1,0,0
725,0,0,0,0,0
726,0,1,0,0,0
727,0,1,1,0,1
728,0,10,1,0,0
729,0,1,0,0,1
730,0,1,0,1,0
731,0,1,0,0,0
732,0,1,0,0,0
733,0,0,0,1,0
734,0,0,0,0,0
735,0,0,0,1,1
736,0,1,1,0,0
737,0,0,0,0,1
738,0,1,0,0,1
739,0,1,0,0,1
740,0,0,0,1,0
741,0,1,0,1,1
742,0,1,0,1,0
743,0,1,0,1,1
744,0,1,0,0,1
745,0,0,0,1,0
746,0,1,1,0,1
747,0,1,1,0,0
748,0,0,1,0,0
749,0,1,0,0,0
750,0,1,0,1,1
751,0,0,0,1,1
752,0,1,1,0,1
753,0,1,0,0,0
754,0,0,0,0,0
755,0,1,0,0,1
756,0,0,0,0,0
757,0,0,0,0,0
758,0,1,1,0,0
759,0,0,0,1,0
760,0,1,0,0,1
761,0,1,1,0,0
762,0,1,0,0,0
763,0,0,0,0,0
764,0,1,0,0,0
765,0,0,0,1,0
766,0,1,0,0,1
767,0,1,1,1,1
768,0,0,0,0,0
769,0,0,0,1,0
770,0,1,0,0,1
771,0,0,1,1,1
772,0,0,0,0,1
773,0,1,0,0,0
774,0,1,0,1,0
775,0,0,1,0,0
776,0,1,0,0,0
777,0,0,0,0,0
778,0,1,1,1,0
779,0,0,0,0,0
780,0,1,0,0,0
781,0,1,0,0,0
782,0,1,0,1,0
783,0,1,0,0,0
784,0,1,1,0,0
785,0,1,0,0,0
786,0,0,0,0,1
787,0,0,0,1,0
788,0,1,0,1,0
789,0,0,0,0,1
790,0,0,0,1,0
791,0,1,0,0,1
792,0,0,0,0,0
793,0,1,1,1,0
794,0,1,1,1,0
795,0,1,0,0,0
796,0,1,0,0,0
797,0,1,1,1,1
798,0,0,0,0,0
799,0,0,0,0,0
800,0,1,1,0,0
801,0,1,1,1,1
802,0,1,0,0,0
803,0,1,0,1,0
804,0,0,0,0,0
805,0,0,0,0,0
806,0,1,1,0,1
807,0,1,1,1,0
808,0,1,0,0,1
809,0,1,0,1,0
810,0,0,0,10,1
811,0,1,0,0,0
812,0,0,0,0,1
813,0,1,0,1,0
